"y","ksk","gl","snv","rv","slr"
2010,"281205","1508","51062","22473","23981"
2011,"289435","1440","63094","20461","21901"
2012,"283180","1297","61734","19092","20389"
2013,"314651","1321","62541","21318","22639"
2014,"260494","995","37058","14552","15547"
2015,"266358","1521","31885","14343","15864"
2016,"347014","2345","60261","17910","20255"
2017,"366142","2353","61409","18989","21342"
2018,"386088","3981","77809","19337","23318"
2019,"456493","1095","81793","20881","21976"
2020,"226522","2407","44176","13681","16088"
