index,dmo,type,name,agg_name,year,Budget,Grant,eur
0,Slovensky raj & Spiš,Marketing a propagácia,Propagačné materiály,Tvorba informačných materiálov,2016,3970,3600,3600
1,Slovensky raj & Spiš,Marketing a propagácia,Výstavy,Účasť na výstavách,2016,1900,1400,1400
2,Slovensky raj & Spiš,Marketing a propagácia,Reklamné spoty,Tvorba obsahu komunikačných nástrojov,2016,3170,2970,2970
3,Slovensky raj & Spiš,Marketing a propagácia,Značenie a úprava bežeckých trás,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2016,3800,3300,3300
4,Slovensky raj & Spiš,Marketing a propagácia,Prevádzka SKI BUS,Podpora verejnej prepravnej infraštruktúry,2016,,,0
5,Slovensky raj & Spiš,Marketing a propagácia,Údržba bežeckých tratí ,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2016,,,0
6,Slovensky raj & Spiš,Marketing a propagácia,Prevádzka letného turistického busu,Podpora verejnej prepravnej infraštruktúry,2016,,,0
7,Slovensky raj & Spiš,Marketing a propagácia,Obnova značenia cyklotrás,"Budovanie, obnova a značenie cyklotrás",2016,,,0
8,Slovensky raj & Spiš,Marketing a propagácia,Postavenie vyhliadkovej veže,Tvorba a budovanie nových POI,2016,,,0
9,Slovensky raj & Spiš,Marketing a propagácia,Spišská a Hnilecká cyklomagistrála,"Budovanie, obnova a značenie cyklotrás",2016,6000,5500,5500
10,Slovensky raj & Spiš,Marketing a propagácia,Ďalšie podujatia,Tvorba a podpora podujatí,2016,,,0
11,Slovensky raj & Spiš,Marketing a propagácia,Aktualizácia web stránky,Tvorba obsahu komunikačných nástrojov,2016,,,0
12,Slovensky raj & Spiš,Marketing a propagácia,Prehodnotenie a aktualizácia Karty do Raja,Tvorba a podpora turistickej karty,2016,,,0
13,Slovensky raj & Spiš,Marketing a propagácia,Podujatie Spišských 333 Extreme,Tvorba a podpora podujatí,2016,5600,5000,5000
14,Slovensky raj & Spiš,Tvorba a podpora produktov CR,Baníctvo na Spiši,"Budovanie, obnova a značenie turistických trás a náučných chodníkov",2016,3500,3100,3100
15,Slovensky raj & Spiš,Marketing a propagácia,Podujatie Spišských 333 Extreme,Tvorba a podpora podujatí,2017,7000,5000,5000
16,Slovensky raj & Spiš,Marketing a propagácia,Podujatie Beh v raji,Tvorba a podpora podujatí,2017,3000,2500,2500
17,Slovensky raj & Spiš,Marketing a propagácia,Brožúra o destinácii,Tvorba informačných materiálov,2017,4000,3000,3000
18,Slovensky raj & Spiš,Marketing a propagácia,Targeting Karty do Raja,Tvorba a podpora turistickej karty,2017,4000,3000,3000
19,Slovensky raj & Spiš,Marketing a propagácia,Výstavy,Účasť na výstavách,2017,1800,1600,1600
20,Slovensky raj & Spiš,Marketing a propagácia,Spojenie a aktualizácia web stránok,Tvorba obsahu komunikačných nástrojov,2017,3300,2300,2300
21,Slovensky raj & Spiš,Marketing a propagácia,Reklamné spoty,Tvorba obsahu komunikačných nástrojov,2017,700,400,400
22,Slovensky raj & Spiš,Infraštruktúra CR,Budovanie cyklotrás,"Budovanie, obnova a značenie cyklotrás",2017,2500,2000,2000
23,Slovensky raj & Spiš,Infraštruktúra CR,Budovanie Nordic walking trás,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2017,2000,1500,1500
24,Slovensky raj & Spiš,Infraštruktúra CR,Údržba bežeckých tratí ,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2017,2500,2000,2000
25,Slovensky raj & Spiš,Tvorba a podpora produktov CR,Vláčik Telgártska slučka,Tvorba a budovanie nových POI,2017,1500,1000,1000
27,Slovensky raj & Spiš,Marketing a propagácia,Aktualizácia zimného sprievodcu ,Tvorba informačných materiálov,2018,,2700,2700
28,Slovensky raj & Spiš,Marketing a propagácia,Aktualizácia a dotlač  ponuky zliav karty Slovenský raj & Spiš,Tvorba informačných materiálov,2018,,3000,3000
29,Slovensky raj & Spiš,Marketing a propagácia,Bilboardová propagácia Karty,Tvorba a podpora turistickej karty,2018,,1500,1500
30,Slovensky raj & Spiš,Marketing a propagácia,Výroba videa,Tvorba obsahu komunikačných nástrojov,2018,,1300,1300
31,Slovensky raj & Spiš,Marketing a propagácia,Výstavy,Účasť na výstavách,2018,,1500,1500
32,Slovensky raj & Spiš,Marketing a propagácia,Propagačné predmety,Tvorba informačných materiálov,2018,,3000,3000
33,Slovensky raj & Spiš,Infraštruktúra CR,Cykloturistické trasy - nové značenie a obnova značenia,"Budovanie, obnova a značenie cyklotrás",2018,,3500,3500
34,Slovensky raj & Spiš,Infraštruktúra CR,Obnova značenia a údržba lyžiarskych bežeckých tratí,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2018,,2000,2000
35,Slovensky raj & Spiš,Infraštruktúra CR,Rekonštrukcia náučného chodníka Čingovské hradisko,"Budovanie, obnova a značenie turistických trás a náučných chodníkov",2018,,2000,2000
36,Slovensky raj & Spiš,Marketing a propagácia,Aktualizácia a dotlač infobrožúry,Tvorba informačných materiálov,2019,,3000,3000
37,Slovensky raj & Spiš,Marketing a propagácia,Vydanie brožúry „Zima v raji“,Tvorba informačných materiálov,2019,,1360,1360
38,Slovensky raj & Spiš,Marketing a propagácia,Aktualizácia a dotlač propagačných materiálov,Tvorba informačných materiálov,2019,,3000,3000
39,Slovensky raj & Spiš,Marketing a propagácia,Billboardová propagácia turistickej karty,Tvorba a podpora turistickej karty,2019,,2000,2000
40,Slovensky raj & Spiš,Marketing a propagácia,Aktualizácia a tlač cykloturistickej mapy,Tvorba informačných materiálov,2019,,4000,4000
41,Slovensky raj & Spiš,Marketing a propagácia,Aktualizácia a tlač a osadenie 15 ks exteriérových cykloturistických máp,Budovanie informačnej infraštruktúry,2019,,4000,4000
42,Slovensky raj & Spiš,Marketing a propagácia,Výroba 2 videí,Tvorba obsahu komunikačných nástrojov,2019,,4000,4000
44,Slovensky raj & Spiš,Tvorba a podpora produktov CR,Podujatie Beh v raji,Tvorba a podpora podujatí,2019,,1500,1500
45,Slovensky raj & Spiš,Tvorba a podpora produktov CR,Vláčik Telgártska slučka,Tvorba a budovanie nových POI,2019,,3000,3000
43,Slovensky raj & Spiš,Marketing a propagácia,Výstavy,Účasť na výstavách,2019,,2500,2500
26,Slovensky raj & Spiš,Marketing a propagácia,Aktualizácia a dotlač infobrožúry,Tvorba informačných materiálov,2018,,3500,3500
46,Slovensky raj & Spiš,Infraštruktúra CR,Komplexné preznačenie lyžiarskych bežeckých tratí,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2019,,5500,5500
47,Slovensky raj & Spiš,Infraštruktúra CR,Úprava a údržba bežeckých tratí,"Budovanie, obnova a značenie lyžiarskych a bežeckých trás",2019,,1100,1100
48,Slovensky raj & Spiš,Marketing a propagácia,Online marketing - webová stránka www.vraji.sk,Tvorba obsahu komunikačných nástrojov,2020,,8000,8000
49,Slovensky raj & Spiš,Marketing a propagácia,Edičná a video tvorba - zavedenie digitálneho online marketingu,Tvorba obsahu komunikačných nástrojov,2020,,4500,4500
51,Slovensky raj & Spiš,Marketing a propagácia,"Turistický informačný systém, PR, komunikácia – propagačné predmety",Tvorba obsahu komunikačných nástrojov,2020,,4000,4000
52,Slovensky raj & Spiš,Marketing a propagácia,Tlač materiálov - brožúra,Tvorba informačných materiálov,2020,,4500,4500
53,Slovensky raj & Spiš,Marketing a propagácia,Marketing turistickej karty - Propagácia turistickej karty,Tvorba a podpora turistickej karty,2020,,3000,3000
54,Slovensky raj & Spiš,Marketing a propagácia,"Infocesty, fam a press tripy - Virtuálna cyklo infocesta",Účasť na výstavách,2020,,4000,4000
55,Slovensky raj & Spiš,Marketing a propagácia,Marketingové kampane - podpora podnikateľských subjektov „Cestujem doma“,Tvorba obsahu komunikačných nástrojov,2020,,8000,8000
56,Slovensky raj & Spiš,Tvorba a podpora produktov CR,LETNÝ BUS v Slovenskom raji,Podpora verejnej prepravnej infraštruktúry,2020,,3000,3000
57,Slovensky raj & Spiš,Infraštruktúra CR,Infraštruktúra pre cyklistov,"Budovanie, obnova a značenie cyklotrás",2020,,5000,5000
58,Slovensky raj & Spiš,Infraštruktúra CR,"Značenie, navigačný systém","Budovanie, obnova a značenie turistických trás a náučných chodníkov",2020,,6540,6540
59,Slovensky raj & Spiš,Marketing a propagácia,Letná destinačná kampaň Košického,Tvorba obsahu komunikačných nástrojov,2021,,5000,5000
60,Slovensky raj & Spiš,Marketing a propagácia,Výroba videa s tipmi na netradičné aktivity v regióne,Tvorba obsahu komunikačných nástrojov,2021,,3300,3300
61,Slovensky raj & Spiš,Marketing a propagácia,Hymna Slovenského raja,Tvorba obsahu komunikačných nástrojov,2021,,9500,9500
62,Slovensky raj & Spiš,Tvorba a podpora produktov CR,"Detský produkt/rodiny Šťastík a Šťastenka /grafický návrh, tlač",Tvorba informačných materiálov,2021,,3000,3000
63,Slovensky raj & Spiš,Podpora atraktivít danej lokality,Regionálna produktová značka – úvodný prieskum,Podpora vlastných znalostných kapacít,2021,,2000,2000
64,Slovensky raj & Spiš,Infraštruktúra CR,"Značenie, navigačný systém","Budovanie, obnova a značenie turistických trás a náučných chodníkov",2021,,7500,7500
65,Slovensky raj & Spiš,Infraštruktúra CR,Informačné tabule a smerovníky,"Budovanie, obnova a značenie turistických trás a náučných chodníkov",2021,,2500,2500
66,Slovensky raj & Spiš,Infraštruktúra CR,"Údržba turistických chodníkov/oddychových zón, bežeckých tratí","Budovanie, obnova a značenie turistických trás a náučných chodníkov",2021,,5000,5000
67,Slovensky raj & Spiš,Stratgické plánovanie,Prieskum potrebných dát informácií o stave CR,Podpora vlastných znalostných kapacít,2021,,3000,3000
50,Slovensky raj & Spiš,Marketing a propagácia,Výstavy,Účasť na výstavách,2020,,2500,2500
